Bin index,yH298-H2O2-treated-facs-pool2,yH298-H2O2-treated-facs-pool2 rank
CP048241.1-51,16,899
CP048241.1-52,10,1055
CP048241.1-53,4,1190
CP048241.1-54,42,329
CP048241.1-55,16,900
CP048241.1-56,20,777
CP048241.1-57,25,625
CP048241.1-58,23,679
CP048241.1-59,13,977
CP048241.1-60,13,978
CP048241.1-61,39,373
CP048241.1-62,19,799
CP048241.1-63,16,901
CP048241.1-64,23,680
CP048241.1-65,24,653
CP048241.1-66,40,357
CP048241.1-67,29,526
CP048241.1-68,41,341
CP048241.1-69,48,259
CP048241.1-70,10,1056
CP048241.1-71,9,1080
CP048241.1-72,17,862
CP048241.1-73,9,1081
CP048241.1-74,25,626
CP048241.1-75,22,717
CP048241.1-76,32,481
CP048241.1-77,12,1013
CP048241.1-78,49,249
CP048241.1-79,52,217
CP048241.1-80,4,1191
CP048241.1-81,20,778
CP048241.1-82,12,1014
CP048241.1-83,32,482
CP048241.1-84,26,598
CP048241.1-85,37,395
CP048241.1-86,33,460
CP048241.1-87,14,950
CP048241.1-88,25,627
CP048241.1-89,43,315
CP048241.1-90,27,577
CP048241.1-91,61,163
CP048241.1-92,68,129
CP048241.1-93,35,421
CP048241.1-94,42,330
CP048241.1-95,22,718
CP048241.1-96,5,1168
CP048241.1-97,19,800
CP048241.1-98,70,121
CP048241.1-99,18,834
CP048241.1-100,30,508
CP048241.1-101,18,835
CP048241.1-102,36,402
CP048241.1-103,49,250
CP048241.1-104,10,1057
CP048241.1-105,19,801
CP048241.1-106,24,654
CP048241.1-107,20,779
