Standard name,Common name,Type,Lib _1
C5_04210C_A,MRV4,ORF|Uncharacterized,8
C5_04220W_A,MRV5,ORF|Uncharacterized,11
C5_04230W_A,MRV6,ORF|Uncharacterized,16
C5_04240C_A,,ORF|Dubious,18
C5_04250W_A,MRV8,ORF|Uncharacterized,9
C5_04260W_A,,ORF|Uncharacterized,16
C5_04270C_A,SAH1,ORF|Uncharacterized,0
C5_04280C_A,GLN3,ORF|Verified,15
C5_04290C_A,,ORF|Uncharacterized,4
C5_04300C_A,,ORF|Uncharacterized,11
C5_04310W_A,,ORF|Uncharacterized,4
C5_04320C_A,,ORF|Uncharacterized,16
C5_04330W_A,,ORF|Uncharacterized,5
C5_04340W_A,,ORF|Uncharacterized,2
C5_04350C_A,,ORF|Uncharacterized,12
C5_04360C_A,,ORF|Uncharacterized,5
C5_04370C_A,PGA37,ORF|Uncharacterized,13
C5_04380C_A,,ORF|Uncharacterized,7
C5_04390C_A,,ORF|Uncharacterized,8
C5_04400W_A,RNY11,ORF|Uncharacterized,13
C5_04410C_A,,ORF|Uncharacterized,10
C5_04420W_A,,ORF|Uncharacterized,11
C5_04430C_A,YUH2,ORF|Verified,8
C5_04440C_A,SFC1,ORF|Verified,13
C5_04450C_A,,pseudogene,3
C5_04460C_A,,ORF|Uncharacterized,1
C5_04470C_A,,ORF|Uncharacterized,6
C5_04480C_A,,ORF|Uncharacterized,9
C5_04490C_A,CAR1,ORF|Uncharacterized,0
C5_04500W_A,,ORF|Dubious,8
C5_04510W_A,GDE1,ORF|Verified,27
C5_04520W_A,TIP41,ORF|Verified,14
C5_04530W_A,,ORF|Verified,0
C5_04540C_A,,ORF|Uncharacterized,6
C5_04550W_A,,ORF|Uncharacterized,7
C5_04560C_A,CUP1,ORF|Verified,3
C5_04570C_A,URA7,ORF|Uncharacterized,0
C5_04580C_A,,ORF|Uncharacterized,7
C5_04590C_A,RPL43A,ORF|Uncharacterized,0
C5_04600C_A,GRR1,ORF|Verified,2
C5_04610W_A,,ORF|Uncharacterized,22
C5_04620C_A,,ORF|Uncharacterized,2
C5_04630W_A,,ORF|Uncharacterized,8
C5_04640C_A,,ORF|Uncharacterized,4
C5_04650C_A,MSM1,ORF|Verified,1
C5_04660C_A,TIP1,ORF|Verified,0
C5_04670W_A,SRP101,ORF|Uncharacterized,2
C5_04680W_A,PSD2,ORF|Verified,25
C5_04690C_A,,ORF|Uncharacterized,6
C5_04700C_A,MES1,ORF|Uncharacterized,4
C5_04710W_A,,ORF|Uncharacterized,1
C5_04720C_A,,ORF|Uncharacterized,0
C5_04730C_A,SSD1,ORF|Verified,18
C5_04740C_A,HYS2,ORF|Uncharacterized,4
C5_04750C_A,HAS1,ORF|Verified,0
C5_04760W_A,tA(AGC)5,tRNA|Uncharacterized,0
C5_04770W_A,,ORF|Uncharacterized,7
C5_04780W_A,ASH2,ORF|Uncharacterized,10
C5_04790C_A,,ORF|Uncharacterized,2
C5_04800W_A,CRH12,ORF|Verified,19
C5_04810W_A,PFK1,ORF|Verified,20
C5_04820W_A,,ORF|Dubious,5
C5_04830W_A,SFL2,ORF|Verified,25
C5_04840C_A,,ORF|Uncharacterized,8
C5_04850W_A,,ORF|Uncharacterized,10
C5_04860C_A,,ORF|Uncharacterized,7
C5_04870W_A,,ORF|Uncharacterized,12
C5_04880C_A,PUT2,ORF|Uncharacterized,7
C5_04890C_A,,ORF|Uncharacterized,2
C5_04900C_A,,ORF|Uncharacterized,9
C5_04910W_A,,ORF|Uncharacterized,3
C5_04920C_A,,ORF|Uncharacterized,42
C5_04930C_A,MAL31,ORF|Uncharacterized,26
C5_04940W_A,,ORF|Verified,13
C5_04950C_A,,ORF|Uncharacterized,21
C5_04960W_A,,ORF|Uncharacterized,13
C5_04970C_A,PPR1,ORF|Verified,23
C5_04980W_A,,ORF|Uncharacterized,26
C5_04990W_A,,ORF|Uncharacterized,0
C5_05000C_A,,ORF|Uncharacterized,21
C5_05010W_A,,ORF|Uncharacterized,5
C5_05020C_A,,ORF|Uncharacterized,12
C5_05030C_A,RIM13,ORF|Verified,16
C5_05040W_A,,ORF|Uncharacterized,2
C5_05050W_A,ADH1,ORF|Verified,5
C5_05060C_A,,ORF|Uncharacterized,2
C5_05070W_A,,ORF|Uncharacterized,23
C5_05080W_A,GRF10,ORF|Verified,11
C5_05090W_A,,ORF|Uncharacterized,7
C5_05100C_A,DUN1,ORF|Uncharacterized,10
C5_05110C_A,TIP20,ORF|Verified,3
C5_05120W_A,CCT3,ORF|Verified,2
C5_05130C_A,,ORF|Uncharacterized,0
C5_05140W_A,,ORF|Uncharacterized,3
C5_05150C_A,,ORF|Uncharacterized,13
C5_05160C_A,CNB1,ORF|Verified,4
C5_05170W_A,PAN3,ORF|Uncharacterized,10
C5_05180W_A,,ORF|Uncharacterized,22
C5_05190W_A,PCL5,ORF|Verified,2
C5_05200C_A,,ORF|Uncharacterized,11
C5_05210W_A,,ORF|Uncharacterized,15
C5_05220W_A,CAG1,ORF|Verified,9
C5_05230C_A,,ORF|Uncharacterized,2
C5_05240C_A,,ORF|Uncharacterized,11
C5_05250C_A,,ORF|Uncharacterized,0
C5_05260W_A,,ORF|Uncharacterized,7
C5_05270C_A,,ORF|Uncharacterized,2
C5_05280C_A,SDH4,ORF|Uncharacterized,6
C5_05290C_A,MRP2,ORF|Verified,1
C5_05300W_A,RIB5,ORF|Uncharacterized,15
C5_05310W_A,PRE1,ORF|Uncharacterized,30
C5_05320C_A,HIS1,ORF|Verified,26
C5_05330C_A,RER2,ORF|Verified,2
C5_05340W_A,,ORF|Uncharacterized,1
C5_05350W_A,,ORF|Uncharacterized,0
C5_05360C_A,,ORF|Uncharacterized,27
C5_05370C_A,PRP22,ORF|Uncharacterized,2
C5_05380W_A,RPN5,ORF|Uncharacterized,2
C5_05390C_A,PGA4,ORF|Verified,7
C5_05400W_A,APM1,ORF|Verified,4
C5_05410C_A,ILV3,ORF|Uncharacterized,1
C5_05420C_A,,long_terminal_repeat,1
C5_05430W_A,PEX4,ORF|Uncharacterized,2
C5_05440C_A,,ORF|Uncharacterized,11
C5_05450C_A,MUM2,ORF|Uncharacterized,1
C5_05460C_A,,ORF|Uncharacterized,12
C5_05470W_A,EST1,ORF|Verified,18
C5_05480W_A,DES1,ORF|Uncharacterized,8
C5_05490C_A,HTS1,ORF|Uncharacterized,0
C5_05500C_A,CTA24,ORF|Verified,3
C5_05510C_A,,ORF|Verified,2
C1_00010W_A,,ORF|Dubious,1
C1_00020C_A,,ORF|Uncharacterized,2
C1_00030C_A,,ORF|Uncharacterized,0
C1_00040W_A,CTA2,ORF|Verified,1
C1_00050C_A,,ORF|Dubious,5
C1_00060W_A,TUP1,ORF|Verified,1
C1_00070W_A,MVD,ORF|Verified,0
C1_00080C_A,RCA1,ORF|Verified,9
C1_00090W_A,,ORF|Uncharacterized,12
C1_00100C_A,,ORF|Uncharacterized,10
C1_00110W_A,CCT8,ORF|Verified,2
C1_00120C_A,TRP1,ORF|Verified,6
